trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
287	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
288	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
289	3	2	FALSE	1	TRUE	switched	3	TRUE	won
290	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
291	1	3	FALSE	2	TRUE	switched	1	TRUE	won
292	1	3	FALSE	2	TRUE	switched	1	TRUE	won
293	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
294	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
295	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
296	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
297	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
298	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
299	2	1	FALSE	3	TRUE	switched	2	TRUE	won
300	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
301	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
302	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
303	2	3	FALSE	1	TRUE	switched	2	TRUE	won
304	2	3	FALSE	1	TRUE	switched	2	TRUE	won
305	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
306	3	2	FALSE	1	TRUE	switched	3	TRUE	won
307	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
308	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
309	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
310	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
311	2	1	FALSE	3	TRUE	switched	2	TRUE	won
312	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
313	1	3	FALSE	2	TRUE	switched	1	TRUE	won
314	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
315	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
316	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
317	3	2	FALSE	1	TRUE	switched	3	TRUE	won
318	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
