trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
213	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
214	1	2	FALSE	3	TRUE	switched	1	TRUE	won
215	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
216	1	3	FALSE	2	TRUE	switched	1	TRUE	won
217	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
218	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
219	3	1	FALSE	2	TRUE	switched	3	TRUE	won
220	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
221	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
222	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
223	3	2	FALSE	1	TRUE	switched	3	TRUE	won
224	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
225	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
226	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
227	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
228	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
229	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
230	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
231	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
232	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
233	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
234	3	1	FALSE	2	TRUE	switched	3	TRUE	won
235	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
236	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
237	2	3	FALSE	1	TRUE	switched	2	TRUE	won
238	3	2	FALSE	1	TRUE	switched	3	TRUE	won
239	2	1	FALSE	3	TRUE	switched	2	TRUE	won
240	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
241	3	1	FALSE	2	TRUE	switched	3	TRUE	won
242	2	1	FALSE	3	TRUE	switched	2	TRUE	won
243	1	2	FALSE	3	TRUE	switched	1	TRUE	won
244	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
245	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
246	2	1	FALSE	3	TRUE	switched	2	TRUE	won
247	1	3	FALSE	2	TRUE	switched	1	TRUE	won
248	2	3	FALSE	1	TRUE	switched	2	TRUE	won
249	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
250	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
251	1	3	FALSE	2	TRUE	switched	1	TRUE	won
252	1	3	FALSE	2	TRUE	switched	1	TRUE	won
253	1	2	FALSE	3	TRUE	switched	1	TRUE	won
254	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
255	3	2	FALSE	1	TRUE	switched	3	TRUE	won
256	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
257	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
258	2	3	FALSE	1	TRUE	switched	2	TRUE	won
259	2	1	FALSE	3	TRUE	switched	2	TRUE	won
260	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
261	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
262	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
263	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
264	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
265	2	3	FALSE	1	TRUE	switched	2	TRUE	won
266	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
267	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
268	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
269	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
270	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
271	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
272	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
273	1	3	FALSE	2	TRUE	switched	1	TRUE	won
274	2	3	FALSE	1	TRUE	switched	2	TRUE	won
275	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
276	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
277	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
278	1	2	FALSE	3	TRUE	switched	1	TRUE	won
279	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
280	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
281	1	2	FALSE	3	TRUE	switched	1	TRUE	won
282	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
283	2	3	FALSE	1	TRUE	switched	2	TRUE	won
284	2	1	FALSE	3	TRUE	switched	2	TRUE	won
285	1	2	FALSE	3	TRUE	switched	1	TRUE	won
286	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
287	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
288	3	2	FALSE	1	TRUE	switched	3	TRUE	won
289	3	2	FALSE	1	TRUE	switched	3	TRUE	won
290	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
291	3	2	FALSE	1	TRUE	switched	3	TRUE	won
292	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
293	2	1	FALSE	3	TRUE	switched	2	TRUE	won
294	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
295	2	1	FALSE	3	TRUE	switched	2	TRUE	won
296	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
297	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
298	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
299	1	3	FALSE	2	TRUE	switched	1	TRUE	won
300	1	3	FALSE	2	TRUE	switched	1	TRUE	won
301	1	3	FALSE	2	TRUE	switched	1	TRUE	won
302	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
303	2	3	FALSE	1	TRUE	switched	2	TRUE	won
304	2	3	FALSE	1	TRUE	switched	2	TRUE	won
305	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
306	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
307	1	3	FALSE	2	TRUE	switched	1	TRUE	won
308	2	3	FALSE	1	TRUE	switched	2	TRUE	won
309	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
310	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
311	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
312	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
313	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
314	3	1	FALSE	2	TRUE	switched	3	TRUE	won
315	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
316	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
317	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
318	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
319	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
320	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
321	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
322	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
323	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
324	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
325	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
326	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
327	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
328	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
329	2	3	FALSE	1	TRUE	switched	2	TRUE	won
330	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
331	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
332	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
333	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
334	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
335	1	2	FALSE	3	TRUE	switched	1	TRUE	won
336	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
337	2	3	FALSE	1	TRUE	switched	2	TRUE	won
338	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
339	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
340	3	1	FALSE	2	TRUE	switched	3	TRUE	won
341	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
342	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
343	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
344	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
345	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
346	3	1	FALSE	2	TRUE	switched	3	TRUE	won
347	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
348	2	2	TRUE	1	FALSE	stayed	2	TRUE	won
349	2	1	FALSE	3	TRUE	switched	2	TRUE	won
350	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
351	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
352	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
353	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
354	2	1	FALSE	3	TRUE	switched	2	TRUE	won
355	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
356	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
357	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
358	1	3	FALSE	2	TRUE	switched	1	TRUE	won
359	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
360	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
361	2	1	FALSE	3	TRUE	switched	2	TRUE	won
362	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
363	3	1	FALSE	2	TRUE	switched	3	TRUE	won
364	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
365	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
366	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
367	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
368	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
369	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
370	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
371	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
372	1	1	TRUE	3	FALSE	stayed	1	TRUE	won
373	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
374	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
375	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
376	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
377	3	2	FALSE	1	TRUE	switched	3	TRUE	won
378	3	2	FALSE	1	TRUE	switched	3	TRUE	won
379	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
380	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
381	2	3	FALSE	1	TRUE	switched	2	TRUE	won
382	3	1	FALSE	2	TRUE	switched	3	TRUE	won
383	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
